"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"228","2018-05-10","11:00:00",1696.44444444444,25.9,6.8,1.00789733464956,26.4
"229","2018-05-10","12:00:00",1954.22222222222,26.1,6.8,1.00789733464956,26.6
"230","2018-05-10","13:00:00",2058.22222222222,26.2,7.8,1.00691016781836,25.5
"231","2018-05-10","14:00:00",1943.55555555556,26.5,8,1.00691016781836,24.8
"232","2018-05-10","15:00:00",1740.77777777778,26.7,8.2,1.00592300098717,23.5
"233","2018-05-10","16:00:00",1421.33333333333,27.3,8.5,1.00493583415597,20.8
"234","2018-05-10","17:00:00",1010.55555555556,26.7,8.6,1.00493583415597,23.6
"235","2018-05-10","18:00:00",529.777777777778,26.7,8.3,1.00394866732478,23.5
"236","2018-05-10","19:00:00",114.888888888889,26.7,7.6,1.00493583415597,23.5
"237","2018-05-10","20:00:00",0,26.8,7.2,1.00493583415597,23.1
"238","2018-05-10","21:00:00",0,26.8,7.2,1.00592300098717,22.7
"239","2018-05-10","22:00:00",0,26.7,7.1,1.00592300098717,24.9
"240","2018-05-10","23:00:00",0,26.6,7.3,1.00592300098717,26.8
"241","2018-05-11","00:00:00",0,26.2,6.9,1.00592300098717,28.3
"242","2018-05-11","01:00:00",0,26.2,6.3,1.00592300098717,28.2
"243","2018-05-11","02:00:00",0,26.2,6.1,1.00592300098717,27.9
"244","2018-05-11","03:00:00",0,25.9,5.6,1.00592300098717,26.9
"245","2018-05-11","04:00:00",0,26.1,4.7,1.00592300098717,27.4
"246","2018-05-11","05:00:00",0,26.1,4.8,1.00592300098717,27.1
"247","2018-05-11","06:00:00",15.3333333333333,26.2,5.3,1.00592300098717,25.4
"248","2018-05-11","07:00:00",274.111111111111,26.1,6.1,1.00691016781836,27.7
"249","2018-05-11","08:00:00",665.444444444444,26,6.4,1.00691016781836,27.6
"250","2018-05-11","09:00:00",1069,26,6.6,1.00691016781836,27.1
"251","2018-05-11","10:00:00",1437.55555555556,26.2,6.8,1.00691016781836,27.9
"252","2018-05-11","11:00:00",1634.77777777778,26.2,7.1,1.00691016781836,28.7
"253","2018-05-11","12:00:00",1919.88888888889,26.3,6.9,1.00691016781836,28.9
"254","2018-05-11","13:00:00",2004.66666666667,26.3,7.4,1.00691016781836,29.1
